day,bucket,time_start,time_end,end_gap_model_E_minus_C,bucket_gap_change,avg_pos_C,avg_pos_model_E,avg_pos_gap_model_E_minus_C
-2,0,0,99900,2844.0,2844.0,56.42242242242242,75.52152152152152,19.0990990990991
-2,1,100000,199900,4685.0,1830.0,61.20941883767535,78.3186372745491,17.109218436873746
-2,2,200000,299900,8183.0,3515.0,54.84384384384384,77.57757757757757,22.733733733733732
-2,3,300000,399900,12598.0,4433.0,48.80220883534137,77.85642570281125,29.05421686746988
-2,4,400000,499900,15279.0,2817.0,56.0970970970971,75.82082082082083,19.723723723723722
-2,5,500000,599900,18004.0,2585.0,56.892892892892895,77.68268268268268,20.78978978978979
-2,6,600000,699900,21545.0,3541.0,55.55855855855856,76.84484484484484,21.286286286286288
-2,7,700000,799900,23647.0,2078.0,59.492492492492495,75.29029029029029,15.797797797797799
-2,8,800000,899900,25752.5,2105.5,53.212637913741226,66.51755265797392,13.304914744232699
-2,9,900000,999900,26102.0,342.0,49.73873873873874,60.8988988988989,11.16016016016016
-1,0,0,99900,2363.5,2363.5,57.3436873747495,76.07615230460922,18.73246492985972
-1,1,100000,199900,5780.0,3445.0,53.662988966900706,78.64192577733199,24.978936810431293
-1,2,200000,299900,10184.5,4404.5,44.39679358717435,75.37675350701403,30.97995991983968
-1,3,300000,399900,13026.5,2909.5,56.02502502502502,75.67967967967968,19.654654654654653
-1,4,400000,499900,16432.0,3455.0,53.22444889779559,76.76152304609218,23.537074148296593
-1,5,500000,599900,19522.0,2958.0,52.83583583583584,74.29629629629629,21.46046046046046
-1,6,600000,699900,22802.0,3280.0,49.4964964964965,73.93293293293293,24.436436436436438
-1,7,700000,799900,25766.5,2874.5,45.886886886886884,65.1951951951952,19.30830830830831
-1,8,800000,899900,26419.5,764.0,50.15747241725175,63.29388164493481,13.13640922768305
-1,9,900000,999900,25753.0,-556.0,44.08408408408408,52.448448448448445,8.364364364364365
0,0,0,99900,3748.5,3748.5,46.09939759036145,74.63353413654619,28.53413654618474
0,1,100000,199900,6977.0,2894.0,45.46038114343029,73.38916750250752,27.928786359077233
0,2,200000,299900,11220.0,4171.0,36.14328657314629,67.96392785571142,31.82064128256513
0,3,300000,399900,14825.0,3865.0,43.55511022044088,72.26553106212425,28.710420841683366
0,4,400000,499900,18294.0,3469.0,46.467,73.446,26.979
0,5,500000,599900,20759.0,2668.0,51.98194583751254,75.01404212637914,23.0320962888666
0,6,600000,699900,23634.0,2875.0,50.6391959798995,73.93266331658292,23.293467336683417
0,7,700000,799900,25966.0,2371.0,38.46492985971944,57.879759519038075,19.414829659318638
0,8,800000,899900,27141.0,1232.0,41.789,57.935,16.146
0,9,900000,999900,26587.0,-554.0,54.884,59.435,4.551
