model,product,total_pnl,day_-2_pnl,day_-1_pnl,day_0_pnl,max_drawdown,max_abs_position,fill_count,turnover_volume,aggressive_fill_share,maker_share,avg_position,avg_abs_position,buy_volume,sell_volume
model_C,ASH_COATED_OSMIUM,62977.5,20101.5,21998.0,20878.0,-1254.0,80.0,2223.0,12263.0,0.4538911381016644,0.5461088618983356,6.59794330740209,25.338753297051852,6164.0,6099.0
model_C,INTARIAN_PEPPER_ROOT,130495.5,47917.5,41834.0,40744.0,-1404.0,78.0,2403.0,16673.0,0.8019142738243862,0.19808572617561382,50.49642690175649,50.49642690175649,8407.0,8266.0
model_E,ASH_COATED_OSMIUM,62977.5,20101.5,21998.0,20878.0,-1254.0,80.0,2223.0,12263.0,0.4538911381016644,0.5461088618983356,6.59794330740209,25.338753297051852,6164.0,6099.0
model_E,INTARIAN_PEPPER_ROOT,208937.5,74019.5,67587.0,67331.0,-1494.0,80.0,1356.0,8311.0,0.7595870206489675,0.24041297935103245,71.32859146463635,71.32859146463635,4248.0,4063.0
model_E_plus_1,ASH_COATED_OSMIUM,62977.5,20101.5,21998.0,20878.0,-1254.0,80.0,2223.0,12263.0,0.4538911381016644,0.5461088618983356,6.59794330740209,25.338753297051852,6164.0,6099.0
model_E_plus_1,INTARIAN_PEPPER_ROOT,209212.5,74058.5,67756.0,67398.0,-1494.0,80.0,1348.0,8247.0,0.7603857566765578,0.23961424332344214,71.41885393708675,71.41885393708675,4216.0,4031.0
model_E_plus_2,ASH_COATED_OSMIUM,62977.5,20101.5,21998.0,20878.0,-1254.0,80.0,2223.0,12263.0,0.4538911381016644,0.5461088618983356,6.59794330740209,25.338753297051852,6164.0,6099.0
model_E_plus_2,INTARIAN_PEPPER_ROOT,209004.5,74019.5,67587.0,67398.0,-1494.0,80.0,1354.0,8301.0,0.759970457902511,0.24002954209748892,71.34198223468911,71.34198223468911,4243.0,4058.0
model_E_plus_3,ASH_COATED_OSMIUM,62977.5,20101.5,21998.0,20878.0,-1254.0,80.0,2223.0,12263.0,0.4538911381016644,0.5461088618983356,6.59794330740209,25.338753297051852,6164.0,6099.0
model_E_plus_3,INTARIAN_PEPPER_ROOT,213129.0,74994.0,69313.0,68822.0,-1494.0,80.0,1291.0,7707.0,0.7513555383423702,0.24864446165762974,71.93508314966941,71.93508314966941,3948.0,3759.0
