model,product,total_pnl,turnover,fill_count,avg_fill_size,fill_size_std,aggressive_fill_share,maker_share,avg_inventory,inventory_turns
model_E_plus_3,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_3,INTARIAN_PEPPER_ROOT,213129.0,7707.0,1291.0,5.969790859798605,2.909667883275024,0.7513555383423702,0.24864446165762974,71.93508314966941,0.26050223736058237
model_E_plus_6,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_6,INTARIAN_PEPPER_ROOT,213121.0,7699.0,1290.0,5.968217054263566,2.909713337225066,0.7511627906976744,0.24883720930232558,71.939357510185,0.2602350898283577
model_E_plus_9,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_9,INTARIAN_PEPPER_ROOT,213156.0,7717.0,1293.0,5.968290796597061,2.9089960904381496,0.7509667440061871,0.24903325599381285,71.9419621986242,0.2608361717758632
model_E_plus_10,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_10,INTARIAN_PEPPER_ROOT,213145.0,7715.0,1292.0,5.9713622291021675,2.9074927761566456,0.7515479876160991,0.24845201238390094,71.9433981166099,0.26076938489280704
model_E_plus_11,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_11,INTARIAN_PEPPER_ROOT,213167.0,7699.0,1284.0,5.996105919003115,2.8909274414359154,0.7507788161993769,0.24922118380062305,71.94837373939758,0.2602350898283577
model_E_plus_12,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_12,INTARIAN_PEPPER_ROOT,213145.0,7715.0,1292.0,5.9713622291021675,2.9074927761566456,0.7515479876160991,0.24845201238390094,71.9433981166099,0.26076938489280704
model_E_plus_13,ASH_COATED_OSMIUM,62977.5,12263.0,2223.0,5.5164192532613585,2.3929299350334707,0.4538911381016644,0.5461088618983356,6.59794330740209,0.40482788554639243
model_E_plus_13,INTARIAN_PEPPER_ROOT,213191.0,7715.0,1286.0,5.999222395023328,2.888681083123599,0.7511664074650077,0.24883359253499224,71.95241434582248,0.26076938489280704
