model,product,day,official_pnl
model_F3,ASH_COATED_OSMIUM,-2,18037.5
model_F3,INTARIAN_PEPPER_ROOT,-2,79963.0
model_F3,ASH_COATED_OSMIUM,-1,19867.0
model_F3,INTARIAN_PEPPER_ROOT,-1,79261.0
model_F3,ASH_COATED_OSMIUM,0,18885.0
model_F3,INTARIAN_PEPPER_ROOT,0,78277.0
model_F2,ASH_COATED_OSMIUM,-2,18037.5
model_F2,INTARIAN_PEPPER_ROOT,-2,80408.0
model_F2,ASH_COATED_OSMIUM,-1,19867.0
model_F2,INTARIAN_PEPPER_ROOT,-1,79221.0
model_F2,ASH_COATED_OSMIUM,0,18885.0
model_F2,INTARIAN_PEPPER_ROOT,0,77852.0
model_F4,ASH_COATED_OSMIUM,-2,18037.5
model_F4,INTARIAN_PEPPER_ROOT,-2,80215.0
model_F4,ASH_COATED_OSMIUM,-1,19867.0
model_F4,INTARIAN_PEPPER_ROOT,-1,79205.0
model_F4,ASH_COATED_OSMIUM,0,18885.0
model_F4,INTARIAN_PEPPER_ROOT,0,77809.0
model_G1,ASH_COATED_OSMIUM,-2,18037.5
model_G1,INTARIAN_PEPPER_ROOT,-2,80191.0
model_G1,ASH_COATED_OSMIUM,-1,19867.0
model_G1,INTARIAN_PEPPER_ROOT,-1,79237.0
model_G1,ASH_COATED_OSMIUM,0,18885.0
model_G1,INTARIAN_PEPPER_ROOT,0,78466.0
model_G2,ASH_COATED_OSMIUM,-2,18037.5
model_G2,INTARIAN_PEPPER_ROOT,-2,80549.0
model_G2,ASH_COATED_OSMIUM,-1,19867.0
model_G2,INTARIAN_PEPPER_ROOT,-1,79380.0
model_G2,ASH_COATED_OSMIUM,0,18885.0
model_G2,INTARIAN_PEPPER_ROOT,0,77967.0
model_G3,ASH_COATED_OSMIUM,-2,18037.5
model_G3,INTARIAN_PEPPER_ROOT,-2,80367.0
model_G3,ASH_COATED_OSMIUM,-1,19867.0
model_G3,INTARIAN_PEPPER_ROOT,-1,79404.0
model_G3,ASH_COATED_OSMIUM,0,18885.0
model_G3,INTARIAN_PEPPER_ROOT,0,78057.0
model_G4,ASH_COATED_OSMIUM,-2,18037.5
model_G4,INTARIAN_PEPPER_ROOT,-2,80409.0
model_G4,ASH_COATED_OSMIUM,-1,19867.0
model_G4,INTARIAN_PEPPER_ROOT,-1,79421.0
model_G4,ASH_COATED_OSMIUM,0,18885.0
model_G4,INTARIAN_PEPPER_ROOT,0,78396.0
model_G5,ASH_COATED_OSMIUM,-2,18037.5
model_G5,INTARIAN_PEPPER_ROOT,-2,80371.0
model_G5,ASH_COATED_OSMIUM,-1,19867.0
model_G5,INTARIAN_PEPPER_ROOT,-1,79431.0
model_G5,ASH_COATED_OSMIUM,0,18885.0
model_G5,INTARIAN_PEPPER_ROOT,0,78708.0
