v,regret,regret_p10
0,172306.22794165803,151911.16722410778
1,172929.80868148926,152875.2320510719
2,173578.12194700385,153839.296878036
3,174214.07419628807,154803.36170500013
4,174785.73097060953,155758.73785123456
5,175326.01769297922,156709.89218973607
6,175881.93699277626,157661.04652823755
7,176379.1254238678,158612.20086673903
8,176811.17466477863,159563.35520524054
9,177213.5911922243,160507.2683091443
10,173330.5816348798,161444.9381747329
11,165497.97902954486,162382.60804032147
12,165836.09130140426,163320.27790591004
13,166028.29959069547,164257.94777149864
14,166126.97322399175,165189.3317795605
15,166055.92334263292,156311.86623414018
16,165897.63932567247,157386.2091982356
17,165496.6317043981,158460.55216233106
18,165066.65326279606,159534.89512642653
19,164488.7803706361,160602.34559894286
20,159267.5323313744,152608.98919461225
21,150327.39655297896,153814.4837799521
22,149493.00142079013,146266.23306867015
23,148323.23398574558,147620.09621835957
24,147161.20670232404,148964.59482366225
25,141760.26563162892,141983.07072319702
26,134002.6050715829,135293.20298202027
27,132692.79580577614,136915.54148056178
28,131399.72761499253,138537.87997910328
29,130006.27619504185,132416.42687184762
30,109566.64964442127,118978.1819781093
31,93926.16927448302,98668.71732512256
32,88424.25954956278,93819.49713044468
33,74885.00772536345,82099.05717651846
34,57160.702564513864,63899.68237469121
35,43321.66850618782,53393.25627319221
36,30044.64229856935,36712.770092014165
37,25169.19285564954,34064.238637379196
38,20842.43026108356,25241.647103065246
39,17189.041619088588,23223.942595151893
40,11978.94119406378,15276.720454287046
41,725.9950489633484,1836.8177840987337
42,0.0,1030.0803313543438
43,389.1106431648077,497.97690507609514
44,1560.045800636377,117.35555729133193
45,3496.6047355224728,0.0
46,1711.8345961089362,150.88571651742677
47,6472.509192659316,570.0127068434958
48,11354.343548319128,6316.9549432809
49,16256.514703496301,11953.549916538934
50,18435.100594748743,12754.109782306012
51,19501.572682813654,9110.745495243522
52,24894.292069425806,15139.451423163002
53,30274.527206184575,21064.722848889476
54,35695.064907897555,26924.135307502496
55,41174.308946973586,32783.54776611549
56,46718.93280781002,34577.893586774764
57,52306.63698910948,40555.977532174904
58,57746.81567570119,46355.608199930226
59,63225.55600917313,52155.23886768555
60,68734.98156803481,54385.866047591466
61,74328.12692365517,60308.56580113465
62,79816.63920199103,66115.45730375321
63,85298.94343338504,71830.76807506004
64,90799.50498999275,74458.32653355694
65,96352.25747800058,80292.39700920263
66,101921.81032097833,86089.63002780711
67,106791.40294175086,88954.86771771859
68,112246.74707975562,94671.08818366131
69,117781.03683148391,100387.30864960409
70,123333.64889918617,106103.52911554687
71,128707.39544878057,111596.28709982228
72,134091.220691373,114874.52449489721
73,139516.767966074,120438.00621516957
74,144991.7200466626,126001.48793544197
75,150300.40091554727,131369.67282953428
76,155544.33854124966,136634.92205569043
77,160822.17973751924,140252.36712304954
78,166142.14292759812,145620.6041091305
79,171296.15602490352,150791.4262721146
80,176324.71512696042,155814.94178066327
81,181380.36185988417,160838.45728921198
82,186473.58175820392,165861.97279776068
83,191326.2636238364,169572.51569457466
84,196045.7732944894,174286.81929505552
85,200784.8767201539,179001.12289553636
86,205540.4857546596,183715.42649601723
87,209908.6240415017,188032.78754676357
88,214203.69422236638,192267.38436382817
89,218513.92525621186,196501.98118089276
90,222706.4627581047,200611.77675231796
91,226434.5281227075,203847.30887662256
92,230170.54871961026,207563.45054724294
93,233913.02321613498,211279.59221786333
94,237022.1218848213,214364.26850974374
95,239994.12565820394,217309.24110739402
96,242970.88128883418,220254.21370504433
97,245170.76630223103,222428.01722972453
98,247052.867614857,224286.0880650347
99,248937.29873947418,226144.15890034492
100,248937.29873947418,226144.15890034492
