v,nash_like,focal_points,just_above,ai_similar,naive_ev,speed_race,random_pure
0,0.0002394654479989626,0.02072538860103627,0.0,0.0,0.0004706311294403026,1.377952089990593e-09,0.009900990099009901
1,0.000328043807687384,0.0,0.0,0.0,0.0005482948144782267,2.232136348178695e-09,0.009900990099009901
2,0.00044491954606373974,0.0,0.0,0.0,0.0006368066010212114,3.5908156764027656e-09,0.009900990099009901
3,0.0005974365433973601,0.0,0.0,0.0,0.0007373283010835678,5.736556788293013e-09,0.009900990099009901
4,0.0007942600881052553,0.0,0.0,0.0,0.0008510874381260223,9.10112908449376e-09,0.009900990099009901
5,0.0010454285461587742,0.0,0.0,0.0,0.000979371329963292,1.4339204020294444e-08,0.009900990099009901
6,0.0013623435176394305,0.0,0.0,0.0,0.0011235192596107954,2.243575078416029e-08,0.009900990099009901
7,0.0017576790060141697,0.0,0.0,0.0,0.001284912594879109,3.486117045909633e-08,0.009900990099009901
8,0.002245190330621147,0.0,0.0,0.0,0.0014649627437536752,5.379341503545122e-08,0.009900990099009901
9,0.0028394055283119547,0.0,0.0,0.0,0.0016650968657508092,8.243318167251438e-08,0.009900990099009901
10,0.0035551861675079477,0.06217616580310881,0.0,0.0,0.0018867412995655093,1.2544715160953448e-07,0.009900990099009901
11,0.004407151051152274,0.0,0.08,0.0,0.002131302714246434,1.8958559800730586e-07,0.009900990099009901
12,0.005408965224342059,0.0,0.0,0.0,0.002400147044423411,2.8453498805332005e-07,0.009900990099009901
13,0.006572507775577177,0.0,0.0,0.0,0.002694576329080004,4.240839231878277e-07,0.009900990099009901
14,0.00790694457326015,0.0,0.0,0.0,0.0030158036370351872,6.277023258417176e-07,0.009900990099009901
15,0.00941774544483032,0.0,0.0,0.0,0.0033649263294188653,9.226595148857867e-07,0.009900990099009901
16,0.011105698234446402,0.0,0.0,0.0,0.0037428979784616743,1.3468368489449633e-06,0.009900990099009901
17,0.012965983304703277,0.0,0.0,0.0,0.004150499331089711,1.952424793756027e-06,0.009900990099009901
18,0.014987379921343377,0.0,0.0,0.0,0.004588308773104079,2.8107319958830528e-06,0.009900990099009901
19,0.01715167917792144,0.0,0.0,0.0,0.00505667281295311,4.018374049994797e-06,0.009900990099009901
20,0.019433375514696816,0.08290155440414508,0.0,0.0,0.005555677160959695,5.705150215308526e-06,0.009900990099009901
21,0.021799699711476286,0.0,0.09,0.0,0.006085119027991196,8.043954540459645e-06,0.009900990099009901
22,0.02421104030923602,0.0,0.0,0.0,0.00664448130461868,1.126309979990917e-05,0.009900990099009901
23,0.02662177824703042,0.0,0.0,0.0,0.007232909305587704,1.566145325073371e-05,0.009900990099009901
24,0.028981532324200764,0.0,0.0,0.0,0.007849190772889765,2.1626786174480306e-05,0.009900990099009901
25,0.031236782835051408,0.08290155440414508,0.0,0.0,0.008491739822160007,2.965771697944768e-05,0.009900990099009901
26,0.03333280984862062,0.0,0.08,0.0,0.009158585490189258,4.0389571812574296e-05,0.009900990099009901
27,0.03521585392931003,0.0,0.0,0.0,0.009847365495147807,5.462438803937203e-05,0.009900990099009901
28,0.036835383475308264,0.0,0.0,0.0,0.010555325755336211,7.336513539714844e-05,0.009900990099009901
29,0.038146336884494085,0.0,0.0,0.0,0.011279326127178314,9.785401863437389e-05,0.009900990099009901
30,0.03911120145550343,0.09326424870466321,0.0,0.04020697096398542,0.01201585271962225,0.00012961444728294523,0.009900990099009901
31,0.03970179546222619,0.0,0.13,0.0481431375159156,0.012761037021711523,0.00017049590910676223,0.009900990099009901
32,0.039900635342692344,0.0,0.0,0.05607012817887132,0.013510681945011595,0.00022272056432132316,0.009900990099009901
33,0.03970179546222619,0.14507772020725387,0.0,0.06351741931578128,0.014260294735665651,0.0002889298942842452,0.009900990099009901
34,0.03911120145550343,0.12435233160621761,0.1,0.06998714647341453,0.015005126555530967,0.000372229204613894,0.009900990099009901
35,0.038146336884494085,0.12435233160621761,0.12,0.0750080513411912,0.015740218371980134,0.0004762272205680471,0.009900990099009901
36,0.036835383475308264,0.0,0.12,0.07819187699479009,0.016460452635836283,0.0006050674530924201,0.009900990099009901
37,0.03521585392931003,0.0,0.0,0.07928290535092214,0.01716061007106393,0.0007634474975621842,0.009900990099009901
38,0.03333280984862062,0.0,0.0,0.07819187699479002,0.017835430752941427,0.0009566220027640922,0.009900990099009901
39,0.031236782835051352,0.0,0.0,0.07500805134119115,0.01847967851806125,0.001190384770810743,0.009900990099009901
40,0.02898153232420082,0.10362694300518134,0.0,0.0699871464734146,0.019088207634102197,0.0014710253791433876,0.009900990099009901
41,0.02662177824703042,0.0,0.14,0.06351741931578121,0.019656030563910524,0.0018052559132630517,0.009900990099009901
42,0.02421104030923602,0.0,0.0,0.05607012817887138,0.020178385590554,0.0022001039179564666,0.009900990099009901
43,0.021799699711476286,0.0,0.0,0.0481431375159156,0.02065080303056036,0.0026627685591881127,0.009900990099009901
44,0.019433375514696816,0.0,0.0,0.04020697096398542,0.02106916875358021,0.003200438264759637,0.009900990099009901
45,0.01715167917792144,0.0,0.0,0.03266122230283952,0.02142978374946121,0.003820069781815323,0.009900990099009901
46,0.014987379921343335,0.0,0.08,0.025806410778339502,0.02172941853840558,0.004528130626412682,0.009900990099009901
47,0.01296598330470329,0.0,0.0,0.0,0.0219653613058053,0.005330309244141378,0.009900990099009901
48,0.011105698234446437,0.0,0.0,0.0,0.022135458758759302,0.006231199754808078,0.009900990099009901
49,0.009417745444830292,0.0,0.0,0.0,0.02223814884352924,0.007233970787015115,0.009900990099009901
50,0.007906944573260136,0.08290155440414508,0.0,0.0,0.022272484628726785,0.008340030457336656,0.009900990099009901
51,0.006572507775577264,0.0,0.06,0.0,0.022238148843529294,0.009548701827333047,0.009900990099009901
52,0.0054089652243419824,0.0,0.0,0.0,0.02213545875875919,0.010856924980751395,0.009900990099009901
53,0.00440715105115234,0.0,0.0,0.0,0.021965361305805356,0.012259003005214288,0.009900990099009901
54,0.003555186167507934,0.0,0.0,0.0,0.02172941853840558,0.013746409457490132,0.009900990099009901
55,0.0028394055283119373,0.0,0.0,0.0,0.02142978374946121,0.015307674194077265,0.009900990099009901
56,0.0022451903306210954,0.0,0.0,0.0,0.02106916875358021,0.01692836266629986,0.009900990099009901
57,0.0017576790060141758,0.0,0.0,0.0,0.020650803030560303,0.018591160885051698,0.009900990099009901
58,0.0013623435176394365,0.0,0.0,0.0,0.020178385590554113,0.020276074306038706,0.009900990099009901
59,0.0010454285461588024,0.0,0.0,0.0,0.01965603056391047,0.021960744006339506,0.009900990099009901
60,0.0007942600881052644,0.04145077720207254,0.0,0.0,0.019088207634102197,0.02362087793396458,0.009900990099009901
61,0.0005974365433973968,0.0,0.0,0.0,0.01847967851806125,0.02523078900445996,0.009900990099009901
62,0.00044491954606371584,0.0,0.0,0.0,0.017835430752941427,0.026764025741493037,0.009900990099009901
63,0.00032804380768730764,0.0,0.0,0.0,0.017160610071063873,0.02819407539724189,0.009900990099009901
64,0.00023946544799901715,0.0,0.0,0.0,0.01646045263583634,0.029495114438014947,0.009900990099009901
65,0.0001730671045807297,0.0,0.0,0.0,0.01574021837198008,0.03064277731472193,0.009900990099009901
66,0.00012383598151074723,0.0,0.0,0.0,0.015005126555531025,0.03161491187892932,0.009900990099009901
67,8.772832261996888e-05,0.02072538860103627,0.0,0.0,0.014260294735665651,0.0323922888956855,0.009900990099009901
68,6.15309261006096e-05,0.0,0.0,0.0,0.013510681945011595,0.032959233983373755,0.009900990099009901
69,4.272752407124803e-05,0.0,0.0,0.0,0.012761037021711523,0.033304152998704706,0.009900990099009901
70,2.9375323078993648e-05,0.010362694300518135,0.0,0.0,0.01201585271962225,0.033419926276196464,0.009900990099009901
71,1.9994853352380802e-05,0.0,0.0,0.0,0.011279326127178258,0.033304152998704706,0.009900990099009901
72,1.3474555279586546e-05,0.0,0.0,0.0,0.010555325755336267,0.032959233983373755,0.009900990099009901
73,8.990240338226793e-06,0.0,0.0,0.0,0.009847365495147807,0.0323922888956855,0.009900990099009901
74,5.938664713059186e-06,0.0,0.0,0.0,0.009158585490189313,0.031614911878929265,0.009900990099009901
75,3.883890277496377e-06,0.0,0.0,0.0,0.008491739822159896,0.030642777314721984,0.009900990099009901
76,2.5148132396448245e-06,0.0,0.0,0.0,0.007849190772889864,0.029495114438014947,0.009900990099009901
77,1.6121489406728604e-06,0.0,0.0,0.0,0.007232909305587676,0.02819407539724189,0.009900990099009901
78,1.0232110536879855e-06,0.0,0.0,0.0,0.0066444813046186175,0.026764025741492982,0.009900990099009901
79,6.429629075018244e-07,0.0,0.0,0.0,0.006085119027991301,0.02523078900446002,0.009900990099009901
80,4.000066843942555e-07,0.0,0.0,0.0,0.005555677160959626,0.02362087793396458,0.009900990099009901
81,2.4638213274718414e-07,0.0,0.0,0.0,0.005056672812953103,0.02196074400633956,0.009900990099009901
82,1.5024907312336732e-07,0.0,0.0,0.0,0.004588308773104135,0.02027607430603865,0.009900990099009901
83,9.071414706676445e-08,0.0,0.0,0.0,0.004150499331089662,0.018591160885051642,0.009900990099009901
84,5.422491349908316e-08,0.0,0.0,0.0,0.003742897978461713,0.016928362666299976,0.009900990099009901
85,3.209100653451639e-08,0.0,0.0,0.0,0.003364926329418855,0.015307674194077152,0.009900990099009901
86,1.8803055736609888e-08,0.0,0.0,0.0,0.003015803637035152,0.013746409457490245,0.009900990099009901
87,1.0907724233070197e-08,0.0,0.0,0.0,0.002694576329080042,0.012259003005214205,0.009900990099009901
88,6.264702871870682e-09,0.0,0.0,0.0,0.002400147044423362,0.010856924980751389,0.009900990099009901
89,3.562274974462082e-09,0.0,0.0,0.0,0.0021313027142464635,0.009548701827333047,0.009900990099009901
90,2.005464590024555e-09,0.0,0.0,0.0,0.001886741299565539,0.008340030457336677,0.009900990099009901
91,1.1177975898614584e-09,0.0,0.0,0.0,0.0016650968657508354,0.00723397078701517,0.009900990099009901
92,6.168392405374245e-10,0.0,0.0,0.0,0.0014649627437536474,0.006231199754808005,0.009900990099009901
93,3.3700881671286094e-10,0.0,0.0,0.0,0.001284912594879069,0.005330309244141413,0.009900990099009901
94,1.8229356344895524e-10,0.0,0.0,0.0,0.001123519259610839,0.0045281306264126995,0.009900990099009901
95,9.762528515167893e-11,0.0,0.0,0.0,0.0009793713299632136,0.003820069781815316,0.009900990099009901
96,5.176226426756801e-11,0.0,0.0,0.0,0.0008510874381260633,0.003200438264759586,0.009900990099009901
97,2.7172178298976327e-11,0.0,0.0,0.0,0.0007373283010835956,0.002662768559188137,0.009900990099009901
98,1.4122081039614902e-11,0.0,0.0,0.0,0.0006368066010211987,0.0022001039179564735,0.009900990099009901
99,7.266494820489193e-12,0.0,0.0,0.0,0.0005482948144782189,0.00180525591326303,0.009900990099009901
100,3.701954349942708e-12,0.0051813471502590676,0.0,0.0,0.00047063112944028255,0.0014710253791434644,0.009900990099009901
