label,group,best_v,best_ev,robust_v,robust_ev,best_p10,best_expected_regret,N,ai_version,focal_version,just_above_version
N=20,N,43,199692.0590527324,43,199692.0590527324,163808.01001233223,13593.336821533865,20,base,base,base
N=35,N,43,199833.62073465568,43,199833.62073465568,176494.31648876725,9101.121817345675,35,base,base,base
N=50,N,43,199369.4536890538,43,199369.4536890538,175646.18199526882,6918.4414291950525,50,base,base,base
N=75,N,43,200193.5405897296,43,200193.5405897296,183907.47041302148,5412.369652011782,75,base,base,base
N=100,N,43,200084.75215879842,43,200084.75215879842,185141.86151641735,4513.145920043722,100,base,base,base
AI version = base,ai_version,43,199677.42828633296,43,199677.42828633296,175646.18199526882,6984.3087001059475,50,base,base,base
AI version = concentrated,ai_version,42,212271.9250328504,42,212271.9250328504,186923.34170703596,1526.990654346247,50,concentrated,base,base
AI version = higher,ai_version,46,181762.60650090495,46,181762.60650090495,159898.7967553057,6291.141629448126,50,higher,base,base
AI weight = 20%,ai_weight,42,199494.3023174853,42,199494.3023174853,175114.07856899058,6651.373948064841,50,base,base,base
AI weight = 30%,ai_weight,43,200341.82292315993,43,200341.82292315993,175646.18199526882,6863.29156626043,50,base,base,base
AI weight = 40%,ai_weight,46,201299.15495494002,46,201299.15495494002,181358.09866000144,6268.14401735065,50,base,base,base
AI weight = 50%,ai_weight,46,204272.3412338356,46,204272.3412338356,186722.92413617537,5720.4957678708215,50,base,base,base
Just-above weight = 10%,just_above_weight,43,200559.8274133688,43,200559.8274133688,175646.18199526882,6654.8821132436005,50,base,base,base
Just-above weight = 20%,just_above_weight,43,200038.4621775254,43,200038.4621775254,175646.18199526882,6790.3299905839785,50,base,base,base
Just-above weight = 30%,just_above_weight,42,199632.47069620044,42,199632.47069620044,175114.07856899058,6911.297982977322,50,base,base,base
Focal weight = 5%,focal_weight,46,200407.52096079988,46,200407.52096079988,181358.09866000144,6896.715153188949,50,base,base,base
Focal weight = 10%,focal_weight,43,199942.72475589928,43,199942.72475589928,175646.18199526882,7030.130932268834,50,base,base,base
Focal weight = 15%,focal_weight,42,199158.9192443648,42,199158.9192443648,175114.07856899058,6717.8133262473375,50,base,base,base
Focal weight = 20%,focal_weight,42,199347.86745457354,42,199347.86745457354,175114.07856899058,6191.728629540606,50,base,base,base
Focal locations = base,focal_version,43,200063.83836157087,43,200063.83836157087,175646.18199526882,6929.719734299993,50,base,base,base
Focal locations = round_heavy,focal_version,43,201645.23601276838,43,201645.23601276838,181413.4965510584,6774.40040884342,50,base,round_heavy,base
Focal locations = low_mid,focal_version,43,203143.58433436256,43,203143.58433436256,181413.4965510584,6736.838595582914,50,base,low_mid,base
Just-above locations = base,just_above_version,43,199714.33909949003,43,199714.33909949003,175646.18199526882,6978.3708514766,50,base,base,base
Just-above locations = lower,just_above_version,43,201829.79007855366,43,201829.79007855366,181413.4965510584,6585.169512278127,50,base,base,lower
Just-above locations = higher,just_above_version,43,200135.35306206264,43,200135.35306206264,175646.18199526882,5720.524496898049,50,base,base,higher
