bid,mean_normalized_ev,min_normalized_ev,mean_weighted_ev,delta_name
0,0.007647086755729095,0.002895566152567173,48.50192027778829,central
10,0.030582507430524725,0.004984673901897928,194.70780526039204,central
25,0.1350736743116401,0.01290782511360968,859.9939513541784,central
40,0.27886661621854075,0.038027936403938145,1772.3507922689582,central
50,0.36638248314109273,0.07668689906832644,2324.79267336304,central
60,0.4518810468277078,0.13632091145133085,2862.5803395051844,central
75,0.5633594662255343,0.23111118576691445,3561.3664653329697,central
90,0.6490970287588956,0.3091280388116854,4096.673826102783,central
100,0.7004704856303883,0.3642904001414089,4416.547280410308,central
125,0.8099532041867789,0.5354615970328629,5095.9752930456225,central
150,0.8845674561669463,0.6941949810139775,5557.158291889604,central
175,0.9302449956679167,0.7970340733340274,5838.9508639227715,central
200,0.9578842333307976,0.8687387214008803,6008.995470908685,central
250,0.983968581411027,0.9645971961842771,6168.3408338930685,central
300,0.9880747022769631,0.9708137969098042,6192.410100497736,central
400,0.9762098570754059,0.9552033483382925,6117.469712441618,central
500,0.9604880770243526,0.9395928997627363,6018.91411773202,central
0,0.0077254466061737635,0.0029566380370367263,33.96027229758623,conservative
10,0.0308357412245477,0.005086459898759775,136.24161915170615,conservative
25,0.13606039108439727,0.013158344326281235,601.1614632233282,conservative
40,0.2808085685302585,0.03872735259701163,1237.6911806792561,conservative
50,0.36889612650337206,0.07804518621313235,1622.395505317274,conservative
60,0.45492663142639733,0.1386424505073686,1996.360603700434,conservative
75,0.5669802204125323,0.23480959962883413,2481.184783692174,conservative
90,0.6529802694880366,0.3137559159809972,2851.2314566646296,conservative
100,0.704425044445306,0.36949249063531076,3071.767461192058,conservative
125,0.8137054236691081,0.5421783797856559,3538.251847587745,conservative
150,0.8875470131229907,0.7016882105380734,3851.793889079393,conservative
175,0.9320130374013372,0.8042317325863867,4040.049624399275,conservative
200,0.9581861916806771,0.8750397054465363,4150.381505425061,conservative
250,0.9809653430120187,0.9681232203606246,4245.223564816022,conservative
300,0.9815467300165661,0.9571456944388453,4246.266742815982,conservative
400,0.9625224053101934,0.9347011946317689,4163.458509145795,conservative
500,0.9396382730110706,0.9122566948207049,4064.4420055693295,conservative
0,0.007814941124211086,0.003027634267965691,25.470204223189675,risk_adjusted
10,0.031123851498562036,0.005204786395498891,102.10643029354594,risk_adjusted
25,0.13718291588650847,0.01344957358880446,450.04341614309453,risk_adjusted
40,0.2830240199781877,0.03954042581376583,925.5328541122066,risk_adjusted
50,0.37177024490571753,0.07962419869388457,1212.304449606747,risk_adjusted
60,0.45841586302109066,0.14134124594105513,1490.6225653171155,risk_adjusted
75,0.571138555560554,0.23910901574956359,1850.5261387894602,risk_adjusted
90,0.6574498432989869,0.3191358357112808,2124.08618993395,risk_adjusted
100,0.708983411016746,0.3755399349089935,2286.6245237628304,risk_adjusted
125,0.818048579056553,0.5499866579083769,2628.78284441654,risk_adjusted
150,0.8910169364825937,0.7103991101331506,2856.125455128612,risk_adjusted
175,0.9341016161205681,0.8125990309408898,2989.770178530128,risk_adjusted
200,0.9585985356501338,0.8823646164472461,3065.23908467167,risk_adjusted
250,0.9775927515263961,0.9568080175460566,3122.42121450876,risk_adjusted
300,0.9741342759329318,0.9417324594913635,3110.0207264258106,risk_adjusted
400,0.9469023515482149,0.9115813422104497,3022.618890644415,risk_adjusted
500,0.9158072743027326,0.8814302249256125,2923.333287742955,risk_adjusted
