round,round_label,scenario,day,product,day_pnl,avg_position,avg_abs_position,max_abs_position,pct_abs_ge_60,pct_abs_ge_70,pct_at_limit,final_position,time_to_20,time_to_40,time_to_60,time_to_70,time_to_80
round_1,Round 1,baseline,-2,ASH_COATED_OSMIUM,20113.0,8.511620917651774,26.34872770987778,80.0,0.07794029252654779,0.023342015628130635,0.0039070326587858145,64,,,,,
round_1,Round 1,baseline,-1,ASH_COATED_OSMIUM,22308.0,14.720424722027447,21.38054692978063,80.0,0.06060302514274266,0.03716317740158269,0.0018030652108584593,72,,,,,
round_1,Round 1,baseline,0,ASH_COATED_OSMIUM,20420.0,30.243941518125375,34.81193671139595,80.0,0.23663128379731624,0.13208491888644103,0.03835369517324254,8,,,,,
round_1,Round 1,baseline,-2,INTARIAN_PEPPER_ROOT,83008.0,75.88040865384616,75.88040865384616,80.0,0.9972956730769231,0.8834134615384616,0.43139022435897434,80,100.0,500.0,900.0,1100.0,11300.0
round_1,Round 1,baseline,-1,INTARIAN_PEPPER_ROOT,82988.0,74.55874987478714,74.55874987478714,80.0,0.9755584493639187,0.8066713412801763,0.37343483922668536,66,0.0,0.0,0.0,0.0,0.0
round_1,Round 1,baseline,0,INTARIAN_PEPPER_ROOT,81948.0,71.96793265858302,71.96793265858302,80.0,0.9160236496642951,0.6797274275979557,0.29191301733640646,69,0.0,0.0,0.0,5200.0,6900.0
round_2,Round 2,baseline,-1,ASH_COATED_OSMIUM,22167.0,40.50655983975964,41.55373059589384,80.0,0.19328993490235352,0.07080620931397096,0.023535302954431646,21,,,,,
round_2,Round 2,baseline,0,ASH_COATED_OSMIUM,22630.0,17.268830128205128,21.615985576923077,80.0,0.061398237179487176,0.03615785256410257,0.013621794871794872,20,,,,,
round_2,Round 2,baseline,1,ASH_COATED_OSMIUM,21659.0,17.997694928843455,21.63710162357186,80.0,0.07085588294247344,0.03788334335538184,0.016536380036079375,29,,,,,
round_2,Round 2,baseline,-1,INTARIAN_PEPPER_ROOT,81203.5,73.05387003104035,73.05387003104035,80.0,0.9522379092820666,0.7056173024932412,0.30599779713627717,79,1100.0,1400.0,4800.0,5700.0,12600.0
round_2,Round 2,baseline,0,INTARIAN_PEPPER_ROOT,81593.5,71.63905029052295,71.63905029052295,80.0,0.9115407733921058,0.6567822079743538,0.24644359847725908,80,0.0,0.0,0.0,0.0,2700.0
round_2,Round 2,baseline,1,INTARIAN_PEPPER_ROOT,80687.0,68.67077323717949,68.67077323717949,80.0,0.8037860576923077,0.5636017628205128,0.2341746794871795,76,0.0,0.0,0.0,0.0,0.0
round_2,Round 2,maf_uniform_125,-1,ASH_COATED_OSMIUM,23041.0,39.656685027541315,40.46409614421633,80.0,0.1971957936905358,0.0772158237356034,0.02543815723585378,31,,,,,
round_2,Round 2,maf_uniform_125,0,ASH_COATED_OSMIUM,23218.0,17.92217548076923,22.766326121794872,80.0,0.09114583333333333,0.047976762820512824,0.015825320512820512,25,,,,,
round_2,Round 2,maf_uniform_125,1,ASH_COATED_OSMIUM,22299.0,20.19953898576869,23.964622168771296,80.0,0.0747644818600922,0.04279414712367208,0.01723792343154941,30,,,,,
round_2,Round 2,maf_uniform_125,-1,INTARIAN_PEPPER_ROOT,81305.5,72.84800240312406,72.84800240312406,80.0,0.9420246320216281,0.7054170421548013,0.32812656453389405,79,1100.0,1300.0,2700.0,5700.0,11300.0
round_2,Round 2,maf_uniform_125,0,INTARIAN_PEPPER_ROOT,81689.5,71.45922660789421,71.45922660789421,80.0,0.9110398717691846,0.6749148467241034,0.2682829092366259,80,0.0,0.0,0.0,0.0,2700.0
round_2,Round 2,maf_uniform_125,1,INTARIAN_PEPPER_ROOT,81127.5,68.92718349358974,68.92718349358974,80.0,0.7932692307692307,0.5962540064102564,0.2764423076923077,75,0.0,0.0,0.0,0.0,0.0
round_2,Round 2,maf_front_125,-1,ASH_COATED_OSMIUM,23721.0,38.20250375563345,39.25127691537306,80.0,0.20220330495743616,0.10615923885828743,0.027240861291937906,35,,,,,
round_2,Round 2,maf_front_125,0,ASH_COATED_OSMIUM,23840.0,18.93359375,23.597255608974358,80.0,0.08874198717948718,0.05228365384615385,0.016927083333333332,29,,,,,
round_2,Round 2,maf_front_125,1,ASH_COATED_OSMIUM,22919.0,18.750450992182802,24.626578472639807,80.0,0.07556624574062938,0.04279414712367208,0.019342553617959512,34,,,,,
round_2,Round 2,maf_front_125,-1,INTARIAN_PEPPER_ROOT,81247.0,72.53970161209573,72.53970161209573,80.0,0.92830679883849,0.6907980374486833,0.33303294282567336,78,1000.0,1100.0,2700.0,2700.0,5700.0
round_2,Round 2,maf_front_125,0,INTARIAN_PEPPER_ROOT,81509.0,70.7493488278902,70.7493488278902,80.0,0.8464235624123422,0.6451612903225806,0.2737928270887598,80,0.0,0.0,0.0,0.0,2700.0
round_2,Round 2,maf_front_125,1,INTARIAN_PEPPER_ROOT,81148.0,68.65214342948718,68.65214342948718,80.0,0.7782451923076923,0.5752203525641025,0.2867588141025641,74,0.0,0.0,0.0,0.0,0.0
